ILL	频率
K29.609	13
D33.901	13
375.502	13
I72.005	13
D48.115	13
G06.001	13
E881.101	13
S42.401	13
J34.107	13
M19.871	13
523.303	13
198.818	13
D32.004	13
813.001	13
A18.202	13
N91.001	13
I88.906	13
T88.702	13
053.701+380.102*	13
D69.402	13
V45.819	13
J86.003	13
C32.102	13
619.102	13
J98.201	13
228.004	13
879.601	13
959.103	13
A18.209	13
T07  02	13
D33.302	13
K80.509	13
B00.903	13
M46.361	13
G04.907	13
707.101	13
S05.813	13
K37  03	13
208.005 M98010/3	13
C41.902	13
618.001	13
522.601	13
K35.101	13
S52.003	13
M92500/1	13
814.101	13
Z86.001	13
192.101	13
T00.902	13
605  03	12
B86  01	12
382.001	12
733.001	12
322.902	12
426.202	12
E87.203	12
410  19	12
870.002	12
M79.871	12
944.201	12
M83120/3	12
Y08.901	12
210.401	12
E05.003+H06.202*	12
851.101	12
946.201	12
G44.201	12
J18.201	12
N36.901	12
S83.002	12
K22.501	12
276.302	12
396  01	12
239.802	12
474.103	12
620.802	12
Z85.801	12
Z51.114	12
J38.702	12
A03.903	12
441.202	12
T81.002	12
536.802	12
336.001	12
667.003	12
556  04	12
Z45.201	12
949.202	12
T59.001	12
K12.103	12
H04.301	12
N13.401	12
K21.002	12
D60.901	12
D59.501	12
595.001	12
D72.103	12
S06.906	12
N90.805	12
682.203	12
788.301	12
881.002	12
K22.301	12
E22.201	12
093.801	12
778.802	12
Q26.101	12
014  03	12
S76.401	12
593.802	12
746.801	12
S73.002	12
D16.702	12
O26.601	12
755.501	12
620.901	12
324.001	12
662.003	12
L02.210	12
542  02	12
S46.901	12
224.101	12
D73.505	12
S56.201	12
807.201	12
610.201	12
B26.901	12
S37.004	12
729.104	12
I74.303	12
576.807	12
N49.202	12
Q52.101	12
N28.805	12
V27.201	12
335.206	12
158.801	12
806.402	12
E03.904+I43.801*	12
V45.602	12
K22.202	12
526.001	12
S21.201	12
I87.804	12
803.201	12
Z98.877	12
C71.001	12
Q76.414	12
S93.402	12
287.303	12
706.206	12
Z93.201	12
I21.003	12
N94.804	12
618.702	12
747.801	12
S85.802	12
M10.091	12
767.102	12
M93.901	12
Q66.602	12
144.901	12
E920.901	12
T01.301	12
728.202	12
V45.825	12
J02.906	12
S36.911	12
N48.804	12
Y19.904	12
Z95.806	12
429.804	12
S39.911	12
757.301	12
M20.601	12
S98.401	12
364.702	12
462  02	12
K35.902	12
722.701+336.302*	12
839.401	12
G25.202	12
S39.907	12
722.102	12
733.911	12
C50.401	12
693.003	12
331.301	12
491.202	12
800.002	12
S72.401	12
C92.004 M98610/3	12
M53.841	12
K63.817	12
307.201	12
I28.001	12
D25.902	12
711.001	12
560.101	12
S31.001	12
351.801	12
432.101	12
E10.101	11
N26  01	11
H17.802	11
523.401	11
746.815	11
Q51.901	11
G56.201	11
481  01	11
202.805	11
437.202	11
E860.901	11
995.001	11
O21.102	11
680.901	11
Z90.003	11
O43.806	11
M53.221	11
812.002	11
S36.101	11
L30.902	11
531.907	11
S83.501	11
N39.404	11
N81.801	11
956.501	11
E05.804	11
343.901	11
V54.001	11
V53.301	11
198.701	11
228.002	11
214  14	11
D18.002	11
M89.893	11
S33.301	11
241.001	11
278.001	11
O48  01	11
D37.101	11
O90.805	11
459.902	11
S26.901	11
522.502	11
T18.201	11
T27.301	11
S55.202	11
L98.409	11
S44.201	11
N61  05	11
A87.901	11
820.001	11
N50.802	11
M31.901	11
Q24.508	11
Z38.101	11
995.301	11
G04.901	11
905.602	11
K20  09	11
597.801	11
K40.301	11
441.001	11
I65.204	11
M88510/0	11
753.901	11
M23.191	11
G83.901	11
872.801	11
746.301	11
O63.002	11
H81.904	11
749.101	11
O08.101	11
576.108	11
R22.901	11
752.602	11
M82600/0	11
M82460/3	11
S74.101	11
427.004	11
I26.002	11
593.902	11
S62.011	11
A58  01	11
608.804	11
491.801	11
M79.981	11
M88950/0	11
A52.102+M14.601*	11
K62.201	11
F48.901	11
715.901	11
M81300/2	11
N43.303	11
L27.007	11
441.201	11
310.201	11
B17.803	11
N42.801	11
V58.010	11
V45.829	11
V42.001	11
C85.912 M95900/3	11
N85.804	11
N87.902	11
D23.601	11
323.902	11
878.001	11
S02.106	11
R55  02	11
T24.201	11
286.601	11
374.901	11
Z98.861	11
381.402	11
365.204	11
Z98.101	11
825.303	11
L28.002	11
H25.102	11
K74.614	11
627.301	11
B24  01	11
I34.103	11
J38.303	11
568.804	11
S42.111	11
518.101	11
173.101	11
Q24.507	11
S52.501	11
362.502	11
Q89.203	11
B65.901	11
C41.401	11
M80600/0	11
873.201	11
J94.202	11
276.001	11
120.901	11
D14.001	11
170.901	11
S36.201	11
876.001	11
211.403	11
C72.902	11
721.801	11
588.801	11
D21.205	11
379.401	11
H20.002	11
710.301	11
295.701	11
V15.208	11
I60.903	11
D22.601	11
W44.902	11
K62.001	11
C78.803	11
S52.611	11
304.001	11
M87.091	11
S42.203	11
K51.201	11
S93.401	11
355.901	11
047.902+321.701*	11
750.001	11
Q20.101	11
M86.992	11
O72.003	11
595.201	10
245.803	10
348.902	10
K76.816	10
215.301	10
860.201	10
182.001	10
D16.204	10
E917.001	10
K26.502	10
078.104	10
B37.302+N77.102*	10
C92.102 M98631/3	10
V45.842	10
G24.902	10
187.401	10
D48.709	10
196.301	10
S82.311	10
282.401	10
I51.902	10
H35.702	10
L12.901	10
458.901	10
871.403	10
574.404	10
955.001	10
956.001	10
E886.001	10
I72.805	10
K29.610	10
M77.231	10
289.802	10
905.604	10
372.601	10
N00.901	10
695.101	10
250.202	10
791.901	10
N36.804	10
686.912	10
A02.901	10
I83.201	10
659.501	10
276.902	10
T60.001	10
250.704	10
K66.103	10
152.901	10
D75.807	10
C08.901	10
412  05	10
686.901	10
J34.804	10
I46.901	10
I45.102	10
N12  02	10
K83.109	10
J44.003	10
R27.001	10
694.502	10
S53.002	10
707.102	10
198.101	10
396  05	10
212.701	10
V45.854	10
A19.001	10
530.803	10
L02.209	10
426.001	10
N90.701	10
L13.901	10
G00.902	10
648.001	10
527.202	10
I49.201	10
M25.894	10
736.201	10
D16.304	10
462  03	10
I61.103	10
410  07	10
D15.001	10
663.302	10
397.004	10
237.701 M95400/1	10
567.202	10
534.901	10
905.403	10
D70  02	10
G50.002	10
T84.005	10
I83.102	10
R55  07	10
221.101	10
860.401	10
H66.903	10
N48.101	10
729.102	10
L02.418	10
E10.402+G63.201*	10
M31.101	10
O99.202	10
L75.001	10
H26.201	10
625.301	10
N32.801	10
170.203	10
C41.201	10
S98.001	10
245.901	10
786.201	10
T60.002	10
Q82.809	10
521.001	10
956.101	10
015.001+730.402*	10
Z85.802	10
723.402	10
727.401	10
H34.101	10
O44.104	10
Q25.404	10
897.401	10
K29.705	10
070.513+573.101*	10
437.401	10
Q40.101	10
H81.305	10
E878.808	10
G93.103	10
802.802	10
K31.103	10
S38.001	10
945.101	10
832.002	10
I87.105	10
935.101	10
W44.903	10
L82  02	10
537.901	10
Q22.301	10
B07  03	10
M82720/0	10
661.001	10
M84.162	10
B18.103	10
I65.103	10
K41.902	10
O41.101	10
H27.801	10
M35.901	10
E20.901	10
Z51.008	10
536.902	10
728.809	10
560.905	10
438  03	10
276.901	10
M80010/0	10
643.101	10
741.901	10
J01.901	10
429.401	10
H72.902	10
T67.003	10
H20.001	10
752.101	10
K66.101	10
162.902	10
N71.101	10
427.812	10
S42.311	10
O69.206	10
296.101	10
I62.101	10
682.102	10
334.001	10
M80000/6	10
C79.812	10
I12.904	10
427.811	10
Z50.102	10
D69.501	10
N20.002	10
156.104	10
R21  01	10
012.003	10
S72.404	10
S05.903	10
M87500/0	10
T93.101	10
156.901	10
K86.802	10
S06.101	10
X19.902	10
383.802	10
362.702	10
K08.301	10
415.101	10
Z42.901	10
F03  05	10
D23.204	10
S05.110	10
L02.203	10
478.101	10
K26.402	10
698.901	10
O14.101	10
N35.903	9
Q85.002	9
C32.002	9
537.501	9
S36.803	9
428.103	9
T93.202	9
M79.593	9
C79.701	9
011.903	9
O69.201	9
429.902	9
Z93.601	9
229.809	9
D32.035	9
N90.804	9
607.101	9
Z51.137	9
331.001	9
S81.904	9
M91700/0	9
T21.001	9
I61.104	9
446.601	9
S20.801	9
M46.561	9
C41.301	9
L92.202	9
164.201	9
569.812	9
454.201	9
735.001	9
L85.902	9
202.808	9
197.807	9
189.201	9
S05.106	9
Q87.401	9
S27.201	9
G43.801	9
680.001	9
O86.401	9
527.604	9
I45.501	9
Z85.504	9
724.202	9
411  02	9
528.916	9
216.701	9
Q87.801	9
D16.203	9
727.801	9
K35.904	9
Q21.203	9
727.405	9
785.401	9
342.901	9
M62.992	9
C05.101	9
O44.102	9
682.204	9
Q04.902	9
663.303	9
197.302	9
H21.001	9
H40.002	9
553.101	9
G58.901	9
C90.203 M97310/3	9
D28.202	9
L08.908	9
N39.301	9
T29.001	9
M17.001	9
V58.123	9
454.101	9
K62.807	9
I34.003	9
657  01	9
I49.404	9
S85.001	9
I51.702	9
D73.001	9
K25.701	9
I77.201	9
794.302	9
H53.001	9
298.902	9
151.101	9
D69.401	9
C79.403	9
E23.009	9
S52.701	9
682.206	9
D18.046	9
D13.401	9
H35.009	9
M80320/3	9
382.401	9
426.901	9
824.002	9
437.301	9
D21.103	9
410  03	9
620.801	9
E886.901	9
M50.001+G99.203*	9
783.001	9
I49.808	9
A49.902	9
910.003	9
G30.102+F00.101*	9
L72.904	9
070.910+573.101*	9
M34.902	9
680.102	9
680.502	9
717.601	9
307.202	9
Q70.001	9
786.602	9
I81  02	9
I06.001	9
921.308	9
I63.301	9
M24.853	9
C79.829	9
151.902	9
I21.204	9
780.303	9
K43.901	9
817.101	9
D11.001	9
535.002	9
T02.501	9
820.801	9
184.401	9
213.002	9
728.905	9
666.002	9
R79.903	9
710.801	9
K72.001	9
447.602	9
429.002	9
O70.101	9
782.001	9
534.401	9
195.002	9
526.203	9
L02.802	9
E85.415	9
Z90.007	9
K29.608	9
M80520/0	9
V22.001	9
C71.701	9
C85.904 M95900/3	9
F10.202	9
Z51.113	9
874.801	9
813.104	9
239.701	9
M84.111	9
I82.101	9
530.601	9
S36.012	9
Q51.301	9
590.801	9
G24.901	9
K65.009	9
K83.501	9
L84  02	9
M82610/1	9
682.301	9
M22.401	9
839.201	9
G56.205	9
T09.101	9
397.001	9
H47.002	9
996.301	9
G06.203	9
812.101	9
D14.102	9
074.001	9
997.403	9
F29  01	9
580.902	9
M90400/3	9
M89.592	9
377.101	9
966.101	9
H35.807	9
D29.201	9
I72.902	9
I25.105	9
V45.812	9
427.401	9
D36.708	9
296.001	9
C26.901	9
212.601	9
642.001	9
D58.203	9
Z94.702	9
B02.101+G02.002*	9
K85  13	9
296.901	9
Z52.201	9
K80.411	9
216.901	9
T14.001	9
K92.206	9
I10  01	9
427.609	9
Z51.125	9
G25.801	9
593.401	9
M53.251	9
815.002	9
371.001	9
E916  02	9
283.001	9
S27.112	9
S71.001	9
428.104	9
573.807	9
T80.902	9
757.602	9
S36.501	9
I42.501	9
146.001	9
E14.102	9
016.001+583.807*	9
593.301	9
H49.901	9
S01.102	9
S64.001	9
336.902	9
M25.992	9
S94.301	9
E26.901	8
J36  01	8
721.902	8
I65.208	8
O99.201	8
K09.901	8
S85.101	8
F22.002	8
C79.401	8
747.203	8
H11.401	8
E920.201	8
208.006 M98010/3	8
S22.311	8
785.001	8
O43.101	8
H68.001	8
D41.201	8
M80100/0	8
225.207	8
F79.901	8
C79.806	8
396  04	8
M88511/0	8
381.401	8
038.902	8
R22.001	8
D39.001	8
D66  01	8
E53.802+G32.001*	8
R65.001	8
531.906	8
D75.809	8
L85.201	8
426.301	8
K07.601	8
C18.001	8
780.207	8
H40.001	8
S31.004	8
H68.101	8
F95.201	8
191.001	8
B44.101+J99.803*	8
616.105	8
N60.201	8
Q25.101	8
921.305	8
D36.713	8
K76.806	8
Z03.104	8
B99  02	8
S43.501	8
662.001	8
N70.906	8
198.816	8
N85.802	8
K76.808	8
367.401	8
G95.801	8
C95.901	8
149.001	8
E03.801	8
D06.901	8
401.001	8
L28.201	8
D33.401	8
212.702	8
S93.304	8
886.102	8
I50.101	8
D48.001	8
378.503	8
M24.891	8
D76.003	8
998.901	8
L04.905	8
V44.301	8
J46  01	8
845.103	8
871.404	8
G97.807	8
641.201	8
302.701	8
I34.101	8
340  01	8
I72.801	8
136.101	8
I85.001	8
525.301	8
H18.803	8
571.406	8
N81.103	8
573.301	8
G93.803	8
E06.103	8
S01.501	8
M23.091	8
348.201	8
730.101	8
A63.002	8
070.102+573.101*	8
Q20.801	8
K65.005	8
M91800/3	8
G12.207	8
695.202	8
V45.856	8
289.806	8
528.907	8
335.204	8
396  02	8
216.402	8
N88.801	8
I60.802	8
K11.202	8
922.402	8
T18.901	8
O01.001	8
C79.837	8
569.101	8
225.212	8
G03.901	8
924.001	8
M67.201	8
752.201	8
620.102	8
K91.501	8
414.002	8
G71.801	8
289.309	8
Z51.011	8
M72.391	8
Z98.801	8
Q21.002	8
E11.301+H28.002*	8
V58.114	8
755.002	8
N72  02	8
S11.901	8
366.501	8
S63.111	8
Q63.101	8
583.802	8
S06.813	8
Z89.001	8
M48.891	8
851.002	8
998.612	8
C79.601	8
G83.803	8
L03.004	8
843.801	8
H83.301	8
D68.402	8
K71.701	8
K76.815	8
154.201	8
Q65.804	8
D38.402	8
C71.301	8
S30.201	8
T11.501	8
D32.001	8
J38.401	8
I89.003	8
M84800/0	8
E879.902	8
434.001	8
E10.702	8
Q23.201	8
K22.102	8
151.401	8
Z98.845	8
779.302	8
670  03	8
K31.604	8
I20.102	8
I87.113	8
S02.601	8
Z85.402	8
D21.201	8
I80.302	8
N94.601	8
K85.913	8
L08.918	8
514  01	8
752.502	8
J34.106	8
696.103	8
Z51.123	8
V25.801	8
W50.301	8
L52  01	8
645  01	8
210.901	8
K80.410	8
O99.101	8
195.102	8
959.901	8
I65.001	8
G93.407	8
S55.203	8
R56.001	8
S42.011	8
Q23.802	8
941.301	8
C77.004	8
H61.201	8
J84.107	8
N73.604	8
E852.901	8
H47.004	8
E858.901	8
349.803	8
225.303	8
H01.901	8
288.802	8
C38.201	8
M85.091	8
189.101	8
930.001	8
J38.705	8
595.901	8
J34.101	8
848.903	8
D18.022	8
K62.601	8
577.901	8
574.204	8
369.001	8
428.003	8
G30.902+F00.901*	8
V45.817	8
L30.904	8
523.801	8
K04.703	8
R59.902	8
611.004	8
608.901	8
J04.005	8
Q66.301	8
M81201/0	8
K31.815	8
958.802	8
522.001	8
Q21.201	8
A18.103	8
F01.101	8
682.602	8
Q40.202	8
Z98.804	8
569.401	8
715.301	8
229.810	8
127.005	7
H35.008	7
V58.011	7
Q22.402	7
S96.902	7
B02.201+G53.001*	7
674.805	7
E87.204	7
T59.701	7
K31.830	7
427.608	7
Z51.124	7
D13.901	7
N15.901	7
V27.101	7
929.001	7
424.003	7
414.804	7
S06.303	7
R06.002	7
905.102	7
473.202	7
O63.001	7
T01.201	7
H20.004	7
518.804	7
D16.803	7
B35.201	7
V58.127	7
S32.511	7
J03.904	7
733.401	7
H46  01	7
K83.005	7
I08.007	7
426.302	7
959.801	7
Q24.812	7
854.003	7
T46.002	7
L60.002	7
331.404	7
D22.402	7
O33.901	7
I66.904	7
D23.501	7
527.501	7
989.501	7
F07.203	7
K13.006	7
799.001	7
I05.901	7
M95900/0	7
K37  02	7
M90500/3	7
J02.908	7
334.802	7
A16.208	7
D21.503	7
D25.201	7
S03.201	7
077.401+372.006*	7
S39.912	7
183.301	7
608.802	7
M62.481	7
I31.101	7
M72.272	7
E14.402+G59.002*	7
323.910	7
195.802	7
698.303	7
K85.911	7
160.001	7
153.402	7
C71.501	7
349.801	7
F05.902	7
553.301	7
G36.001	7
H65.301	7
T92.201	7
K83.105	7
648.501	7
M81220/3	7
T15.001	7
390  01	7
M84.132	7
D16.003	7
S36.701	7
M70.401	7
A09  02	7
D69.005+N08.202*	7
D41.901	7
571.601	7
238.401 M99500/1	7
868.003	7
K31.401	7
213.702	7
L12.001	7
K11.209	7
239.202	7
N28.002	7
M80030/1	7
V15.203	7
G96.001	7
S31.301	7
R22.301	7
C26.802	7
693.002	7
N49.201	7
K22.204	7
I73.001	7
414.802	7
I66.901	7
752.406	7
373.101	7
L57.801	7
943.301	7
D38.301	7
I65.203	7
H53.101	7
171.001	7
G11.902	7
T91.101	7
S31.003	7
N50.803	7
323.914	7
427.501	7
S02.113	7
079.901	7
288.301	7
H49.903	7
956.302	7
D69.201	7
S09.904	7
X41.906	7
M65.951	7
331.202	7
I69.201	7
K31.703	7
216.101	7
569.410	7
S02.105	7
L29.801	7
527.301	7
M91030/0	7
S27.803	7
383.101	7
D28.002	7
C74.901	7
C31.301	7
K11.701	7
I35.807	7
G40.806	7
011.001	7
718.503	7
170.302	7
D18.050	7
Q82.503	7
Q23.001	7
K07.304	7
730.901	7
V10.301	7
H40.503	7
537.301	7
070.906+573.101*	7
E13.202+N08.304*	7
197.801	7
D13.301	7
M54.123	7
786.001	7
A04.901	7
341.901	7
198.811	7
463  03	7
S33.202	7
D75.101	7
746.001	7
M24.591	7
574.401	7
V15.211	7
D86.902	7
C31.001	7
871.501	7
955.904	7
958.804	7
951.001	7
V45.821	7
H81.101	7
890.001	7
436  03	7
V44.401	7
704.801	7
Z51.131	7
C79.303	7
E75.201	7
511.804	7
780.003	7
S83.301	7
451.901	7
J39.219	7
A08.002	7
216.401	7
L30.101	7
G93.504	7
K66.801	7
R02  03	7
666.202	7
998.603	7
D15.201	7
170.301	7
G20  05	7
011.201	7
576.106	7
E902.101	7
378.901	7
958.501	7
362.501	7
G40.903+F02.802*	7
B02.204+G53.004*	7
303  02	7
324.902	7
593.807	7
011.902	7
370.005	7
573.903	7
362.106	7
K91.403	7
785.405	7
E88.802	7
M91700/3	7
C71.802	7
N25.001	7
G31.202	7
590.202	7
076.901	7
216.502	7
873.601	7
F32.903	7
459.201	7
Q23.901	7
K35.104	7
M80700/6	7
I44.102	7
C48.101	7
T14.101	7
680.201	7
934.001	7
575.601	7
362.602	7
D18.040	7
747.202	7
D07.501	7
D61.903	7
523.802	7
624.801	7
425.101	7
N13.504	7
R23.301	7
T13.301	7
D72.102	7
O16  01	7
R70.001	7
E924.103	7
686.910	7
M70.702	7
T26.101	7
M82400/3	7
Q69.902	7
Z95.802	7
288.003	7
I82.803	7
K65.809	7
L02.211	7
738.303	7
070.911+573.101*	7
K31.828	7
213.302	7
723.101	7
212.102	7
370.802	7
881.001	7
D23.505	7
319  03	6
K82.303	6
I49.803	6
F07.802	6
H25.101	6
682.201	6
380.202	6
536.803	6
H34.203	6
D23.402	6
W24.901	6
T18.301	6
H33.203	6
M95800/0	6
225.004	6
238.703	6
I77.101	6
T59.401	6
S05.601	6
614.204	6
A17.001+G01  02*	6
235.401	6
533.903	6
S42.404	6
M46.991	6
794.501	6
I40.901	6
W87.902	6
D37.701	6
M88400/0	6
382.901	6
728.702	6
K04.501	6
478.115	6
W20.904	6
I21.205	6
784.203	6
E85.402	6
Q60.001	6
729.205	6
I47.108	6
N60.301	6
H16.006	6
F40.901	6
D32.031	6
N15.102	6
O70.201	6
F32.901	6
192.201	6
C71.006	6
662.101	6
017.802+420.002*	6
969.101	6
I87.114	6
730.202	6
560.902	6
614.203	6
263.901	6
171.503	6
G93.810	6
C79.807	6
969.501	6
K22.901	6
T84.602	6
H35.402	6
D70  04	6
452  01	6
I49.502	6
S01.301	6
O62.002	6
Z43.002	6
Q12.001	6
794.001	6
R55  06	6
G93.403	6
B49  10+J17.201*	6
T43.502	6
133.001	6
D69.203	6
641.002	6
Q05.901	6
A18.104+N29.101*	6
191.501	6
959.104	6
K29.003	6
078.105	6
I77.106	6
H02.101	6
709.207	6
348.303	6
576.102	6
O61.901	6
573.001	6
J98.803	6
569.809	6
875.001	6
M54.563	6
Z94.401	6
L01.001	6
Z85.404	6
M25.701	6
223.802	6
V01.101	6
752.805	6
S06.204	6
M84.151	6
A60.002	6
C71.803	6
540.102	6
202.804	6
695.103	6
Z47.001	6
I88.101	6
355.301	6
H60.001	6
M79.191	6
473.201	6
S63.003	6
371.002	6
M89.982	6
L50.301	6
M80100/2	6
827.101	6
C26.805	6
379.203	6
701.902	6
349.804	6
Q24.501	6
930.901	6
198.502	6
291.201	6
569.814	6
T81.505	6
R74.801	6
D43.201	6
172.601	6
T80.801	6
239.001	6
214  05	6
553.302	6
806.801	6
868.001	6
456.001	6
I06.102	6
451.202	6
T81.811	6
E10.201+N08.301*	6
I60.904+H45.001*	6
754.502	6
M23.592	6
K08.302	6
525.302	6
212.501	6
622.101	6
C92.402 M98660/3	6
E88.202	6
K56.002	6
N46  01	6
491.201	6
Z43.602	6
R22.102	6
999.202	6
216.505	6
C93.001 M98910/3	6
M48.041	6
Z98.825	6
J44.001	6
709.004	6
478.710	6
224.301	6
Z21  01	6
E900.001	6
997.602	6
L03.001	6
A04.807	6
620.803	6
Q18.001	6
216.201	6
L26  01	6
626.002	6
478.102	6
304.901	6
T04.201	6
M25.451	6
S02.414	6
558  22	6
696.301	6
Z51.003	6
C92.002 M98610/3	6
I49.403	6
706.203	6
M05.961	6
377.302	6
Z22.401	6
J98.102	6
596.801	6
T87.001	6
233.201	6
C41.101	6
396  08	6
N76.402	6
M80110/3	6
R62.801	6
719.501	6
522.501	6
608.403	6
577.004	6
Z51.009	6
C44.507	6
K61.003	6
173.304	6
Q75.808	6
M00.901	6
V58.108	6
T84.202	6
H43.807	6
J00  01	6
B45.001	6
C91.901 M98200/3	6
S37.002	6
M65.971	6
878.601	6
163.901	6
K05.001	6
T80.602	6
Z85.007	6
709.202	6
M81301/1	6
070.902+573.101*	6
444.201	6
210.404	6
P01.502	6
C78.807	6
C03.101	6
437.902	6
T14.004	6
336.903	6
755.201	6
D23.401	6
S30.204	6
M25.891	6
145.301	6
N82.001	6
T21.201	6
250.602+443.802*	6
D32.005	6
277.807	6
S01.105	6
901.301	6
682.701	6
H34.202	6
593.810	6
223.001	6
747.401	6
265.001	6
275.101	6
742.901	6
K31.809	6
N28.809	6
E928.901	6
S11.902	6
478.503	6
616.002	6
222.301	6
S88.001	6
C49.002	6
C76.306	6
M19.171	6
H26.101	6
145.001	6
275.403	6
D68.203	6
228.018	6
516.304	6
112.401+484.702*	6
S64.101	6
X23.991	6
M99501/1	6
729.302	6
117.903	6
E11.604	6
T75.101	6
S93.302	6
749.002	6
730.301	6
863.803	6
H81.201	6
727.903	6
785.408	6
R65.301	6
W94.801	6
Z37.501	6
N70.101	6
M91800/0	6
R91  01	6
H10.903	6
C95.901 M98000/3	6
K76.809	6
854.008	6
I61.601	6
M84.451	6
S52.005	6
O69.001	6
T70.301	6
C10.901	6
553.001	6
N80.303	6
O26.301	6
216.507	6
362.303	6
K55.005	6
993.205	6
377.304	6
410  15	6
592.104	6
576.201	6
D32.024	6
222.102	6
B02.301+H19.203*	6
255.002	6
O03.401	6
198.001	6
682.202	6
593.001	6
S05.603	6
837.002	6
C75.101	6
T14.301	6
N36.004	6
T60.402	6
V29.641	6
751.603	6
738.401	6
N62  02	6
N64.802	6
M24.411	6
S54.202	6
M81700/6	6
N36.202	6
414.103	6
210.701	6
607.803	6
N48.301	6
288.803	6
B25.902	6
998.607	6
895  01	6
754.701	6
229.812	6
380.001	6
O44.103	6
S02.211	6
I50.001	6
680.301	6
D32.027	6
268.001	6
L29.201	6
L02.301	6
M94700/3	6
Z42.801	6
173.302	6
Z98.824	6
R56.802	6
C92.005	6
Z98.823	6
Q36.901	6
170.601	6
O66.401	6
173.201	6
H90.201	6
620.202	6
H11.901	6
J18.806	6
574.403	6
O13  01	6
379.101	6
Z45.003	6
Q83.801	6
C76.004	6
R25.202	6
E66.901	6
K92.802	6
B18.205	6
Q68.103	6
440.101	6
997.407	6
958.301	6
686.906	6
C12  01	6
E27.805	6
643.001	6
981  01	6
729.203	6
P05.901	6
590.201	6
426.501	6
592.102	6
194.301	6
K76.702	6
M90500/0	6
L90.510	6
603.904	6
Q24.001	6
S06.911	6
478.704	6
K80.504	6
919.001	6
R65.901	6
170.202	6
Q21.204	6
M21.832	6
552.201	6
F42.101	6
386.802	6
333.202	6
C90.204 M97310/3	6
N76.601	6
537.811	6
599.601	6
994.602	6
478.901	6
212.002	6
K63.102	6
E80.502	6
N42.803	6
L08.910	6
604.904	6
C85.101	6
J98.805	6
Q62.801	6
723.001	6
366.301	6
D21.401	6
Z98.803	6
K21.902	6
A51.401	6
786.002	6
747.302	6
803.101	6
C84.502	6
E863.901	6
429.304	6
I21.211	6
Z85.503	6
I21.403	6
198.807	6
197.805	6
C21.001	6
017.202	6
D33.001	6
K80.202	6
K36  03	6
569.406	5
D18.029	5
K83.808	5
198.808	5
S39.905	5
B97.701	5
H61.902	5
E23.001	5
I80.804	5
940.101	5
T84.006	5
M19.821	5
L93.002	5
749.102	5
D68.201	5
J15.701	5
S31.803	5
Q79.001	5
I82.203	5
H52.201	5
S86.101	5
Z43.408	5
W40.903	5
253.901	5
K82.201	5
S05.303	5
D36.108	5
571.902	5
210.501	5
824.202	5
J32.001	5
478.504	5
520.601	5
M65.892	5
Q62.102	5
M88500/3	5
801.301	5
215.203	5
C92.702 M98680/3	5
F43.001	5
T50.904	5
N80.801	5
Z85.405	5
R63.101	5
V45.502	5
666.001	5
213.603	5
904.201	5
L60.802	5
R31  02	5
E83.001	5
682.205	5
041.101	5
S02.911	5
K91.827	5
H27.101	5
972.601	5
M93810/3	5
K83.104	5
S52.802	5
O73.102	5
215.304	5
953.001	5
N99.805	5
D15.101	5
M83700/0	5
098.001	5
530.808	5
B37.301+N77.101*	5
310.806	5
229.801	5
I00  01	5
825.301	5
737.301	5
555.001	5
G62.903	5
333.801	5
153.101	5
745.604	5
S55.002	5
J98.412	5
196.002	5
K62.301	5
D20.101	5
H02.811	5
V15.501	5
397.003	5
524.603	5
Z51.109	5
I31.901	5
J60  01	5
M79.091	5
L08.904	5
G20  04+F02.301*	5
K22.807	5
I10  09	5
K10.302	5
I60.701	5
G24.101	5
921.307	5
T93.102	5
Q65.803	5
493.904	5
I72.811	5
M75.501	5
M65.291	5
698.302	5
721.102	5
994.604	5
R94.601	5
O69.803	5
530.102	5
Z95.804	5
221.202	5
359.902	5
J35.807	5
D72.808	5
Q22.001	5
444.001	5
H52.401	5
277.401	5
732.902	5
727.802	5
I51.404	5
S05.801	5
T97  01	5
B18.201	5
I27.801	5
I69.801	5
L30.201	5
620.001	5
G57.101	5
214  04	5
I65.201	5
I67.105	5
H04.506	5
229.805	5
Q21.401	5
I70.101	5
Z85.002	5
V45.806	5
702  06	5
G06.004	5
873.605	5
518.802	5
C91.008 M98370/3	5
M85200/3	5
528.905	5
682.801	5
Q62.101	5
I71.203	5
H40.201	5
S64.201	5
I25.205	5
S82.103	5
472.001	5
Q21.103	5
D23.503	5
802.502	5
K26.501	5
S72.001	5
G92  01	5
530.302	5
424.104	5
E11.503+I79.204*	5
686.902	5
890.201	5
Z85.406	5
M80330/3	5
J38.308	5
K82.302	5
Q25.401	5
E32.801	5
162.401	5
433.102	5
E853.201	5
K76.901	5
E853.801	5
780.602	5
751.607	5
R04.901	5
401.101	5
784.401	5
K63.819	5
T30.201	5
E14.406+G99.001*	5
R55  09	5
616.402	5
H17.803	5
870.101	5
Z85.502	5
C92.501 M98670/3	5
H34.201	5
R35  03	5
D73.401	5
E899  01	5
J38.302	5
A09.002	5
G71.001	5
S53.001	5
306.401	5
H04.505	5
K86.805	5
287.403	5
I50.104	5
S06.302	5
K56.203	5
J38.710	5
942.002	5
E917.003	5
V45.401	5
S80.901	5
916.003	5
S01.801	5
O69.204	5
S05.902	5
782.101	5
993.101+473.904*	5
M25.091	5
O35.820	5
447.605	5
680.101	5
K22.806	5
377.301	5
