ILL	频率
R11  01	186
M19.991	185
463  01	185
I85.901	185
821.003	185
426.101	185
R47.001	184
J35.001	184
T67.001	184
K72.903	183
052  01	183
W22.991	182
955.101	182
S66.906	182
D50.001	182
S83.503	181
N03.901	181
919.002	181
558  03	181
634.903	181
S91.101	180
S43.101	180
E02  01	180
K58.903	179
L08.909	179
S66.601	179
S84.101	179
K31.702	178
801.001	178
T80.901	178
D70  03	178
A53.901	177
535.504	177
A49.903	176
845.102	176
434.904	176
C76.201	176
B90.901	176
E919.301	175
572.201	175
882.003	175
N04.902	175
799.402	174
H10.901	174
575.101	174
L72.903	173
070.901+573.106*	173
998.501	173
N41.101	173
V45.824	173
T62.901	173
I60.901	172
331.901	172
M35.001	172
722.001	172
438  01	171
K31.901	171
J98.401	170
574.101	170
Q61.301	168
904.901	168
S39.002	167
284.902	167
183.001	167
530.105	167
D26.901	166
D17.201	166
J32.907	166
892.003	166
823.102	166
M48.061	165
E916  03	165
394.201	165
S05.107	165
K74.501	165
709.203	164
K50.901	164
I70.905	164
I25.204	164
S29.901	164
I35.202	164
R94.401	163
I25.102	163
852.003	162
N80.901	162
620.903	162
211.301	162
185  01	162
Z98.820	160
G44.101	160
Z98.858	160
N19  01	160
T94.002	160
924.501	160
455.301	159
633.901	159
745.203	159
Z51.013	158
S51.001	158
246.901	158
K91.802	157
W31.903	157
S54.901	157
E813.902	157
R60.901	156
280  03	155
E14.404+G59.001*	155
N17.901	155
C43.701	155
072.901	154
147.901	154
786.004	154
714.002	154
K29.304	153
923.901	153
E78.001	152
I74.302	152
L97  02	152
S66.905	152
G91.902	151
E87.201	151
882.001	151
E14.503+I79.202*	151
K63.306	150
K76.904	150
I80.205	150
614.901	150
813.004	150
842.001	150
M10.001	150
826.101	150
O47.001	150
M80500/3	149
992.001	149
I77.103	149
S54.102	148
605  01	148
J84.101	148
V87.701	147
M54.382	147
427.301	146
K86.901	146
S41.101	146
485  01	146
535.103	146
F10.001	145
486  06	145
R22.302	144
922.303	144
L23.901	144
S54.002	144
004.901	144
Z51.107	143
F10.002	143
B02.002+G05.103*	143
I44.101	142
V25.101	142
288.002	142
784.001	142
I82.901	142
K28.903	141
N18.802	141
427.801	141
632  01	141
747.001	141
201.901 M96500/3	140
825.001	140
780.201	140
A46  01	140
K76.602	140
O60.001	140
455.602	140
K83.006	140
I61.303	139
428.006	139
470  01	138
M23.991	138
M41.561	138
G93.101	138
S62.101	137
M48.091	137
Q22.803	137
M80000/0	137
345.903	136
M79.651	136
922.101	136
G47.901	136
C44.901	135
388.201	135
O00.101	135
I44.401	135
T22.001	135
N20.901	135
R52.201	135
H40.901	134
O21.901	134
K35.102	134
G93.501	134
S66.907	133
D36.711	133
005.901	133
K35.001	133
581.903	133
427.605	133
R53  02	133
Z90.402	133
L90.501	133
N47  02	132
D26.001	132
S02.103	132
K75.001	131
L98.407	131
S32.101	131
S82.802	131
S19.901	131
G93.401	131
250.701	131
S93.001	131
K43.902	131
K40.901	130
Z95.101	130
530.101	130
B65.902+K77.012*	130
157.901	130
D32.008	130
540.001	130
M90800/1	130
E14.101	130
H93.101	130
Z98.851	129
I65.202	129
S86.903	129
I48  03	129
S09.905	129
B35.301	129
C85.920 M95900/3	129
004.903	128
D64.802	128
D13.101	128
273.801	128
Q21.301	128
567.901	127
214  08	127
M86.691	127
M90100/0	127
658.001	127
802.001	127
D44.001	126
E929.901	126
623.801	126
239.401	125
Z98.854	125
S83.601	125
N41.901	125
788.001	125
Q25.001	124
E06.301	124
R57.102	124
239.501	124
N03.903	124
K40.905	124
F99  01	123
I69.302	123
822.101	123
S30.001	123
M91200/0	123
R00.201	123
M75.002	122
634.904	122
N35.901	122
I44.602	122
198.301	122
C85.921	122
Z98.848	122
V45.811	122
S52.401	122
251.001	121
V58.102	121
K22.902	121
656.601	121
R02  06	121
S43.402	121
E880.901	121
G43.901	121
S65.701	121
904.801	120
Z51.012	120
S80.801	120
594.101	120
437.201	119
428.101	119
H02.003	119
M65.992	119
203.001	119
C90.001	119
J45.901	119
S93.403	119
J02.909	119
R94.301	118
K52.925	118
L98.408	118
710.002+583.809*	117
G97.809	117
G24.501	117
K52.914	117
535.601	117
738.106	117
T20.001	116
794.801	116
M85000/3	116
642.901	116
M72.992	116
S32.301	116
789.201	116
S01.001	116
865.001	115
686.903	115
S62.311	115
N43.302	115
576.104	115
S49.901	115
D18.037	114
E924.002	114
S48.101	114
276.101	114
K55.901	114
883.001	113
S52.601	113
727.003	113
C34.902	113
403.901	113
